129     50.00    10.0    28.90    18MAR1693
130     51.50     7.0    29.20    19MAR1693
131     45.00     8.0    29.20    20MAR1693
132     41.00     7.0    29.00    21MAR1693
133     50.00     8.0    29.40    22MAR1693
134     37.00    10.0    29.50    23MAR1693
135     33.50     6.0    29.40    24MAR1693
136     27.50     7.0    29.30    25MAR1693
137     30.00    11.0    29.40    26MAR1693
138     57.00     9.0    29.60    27MAR1693
139     38.00     4.0    29.60    28MAR1693
140     30.00    17.0    29.50    29MAR1693
141     30.00    20.0    29.45    30MAR1693
142     20.00    24.0    29.30    31MAR1693
143     32.00    15.0    29.40    01APR1693
144     39.00    15.0    29.50    02APR1693
145     37.50    14.0    29.70    03APR1693
146     37.00    23.0    29.65    04APR1693
147     38.00    29.0    29.20    05APR1693
148     29.00    32.0    29.20    06APR1693
149     32.00    33.0    29.30    07APR1693
150     32.00    35.0    29.40    08APR1693
151     28.50    40.0    29.20    09APR1693
152     35.00    33.0    29.40    10APR1693
153     37.00    33.0    29.40    11APR1693
154     34.00    37.0    28.90    12APR1693
155     39.00    32.0    29.40    13APR1693
156     39.00    33.0    29.50    14APR1693
157     39.00    29.0    29.70    15APR1693
158     35.00    30.0    29.80    16APR1693
159     37.00    31.0    29.65    17APR1693
160     36.50    36.0    29.40    18APR1693
161     33.50    36.0    29.35    19APR1693
162     36.00    32.0    29.30    20APR1693
163     39.00    37.0    29.20    21APR1693
164     46.00    35.0    29.40    22APR1693
165     42.50    35.0    29.50    23APR1693
166     52.00    35.0    29.20    24APR1693
167     50.00    35.0    29.35    25APR1693
168     95.00    36.0    29.70    26APR1693
169     38.00    44.0    29.50    27APR1693
170     43.00    46.0    29.75    28APR1693
171     40.00    49.0    29.60    29APR1693
172     52.00    42.0    29.90    30APR1693
173     56.00    36.0    30.10    01MAY1693
174     61.00    26.0    30.00    02MAY1693
175     66.00    21.0    30.10    03MAY1693
176     61.00    19.0    30.10    04MAY1693
177     52.00    31.0    30.10    05MAY1693
178     48.00    45.0    29.80    06MAY1693
179     59.50    35.0    29.80    07MAY1693
180     51.00    34.0    29.70    08MAY1693
181     51.00    31.0    29.60    09MAY1693
182     43.00    35.0    29.50    10MAY1693
183     49.00    30.0    29.50    11MAY1693
184     54.00    32.0    29.60    12MAY1693
185     59.00    26.0    29.70    13MAY1693
186     59.00    32.0    29.75    14MAY1693
187     46.50    35.0    29.70    15MAY1693
188     46.50    34.0    29.85    16MAY1693
189     56.00    36.0    30.10    17MAY1693
190     70.50    36.0    30.30    18MAY1693
191     58.50    47.0    30.10    19MAY1693
192     76.00    50.0    30.00    20MAY1693
193     62.00    52.0    30.10    21MAY1693
194     73.00    64.0    30.10    22MAY1693
195     78.50    64.0    30.10    23MAY1693
196     90.00    62.0    29.95    24MAY1693
197     61.00    74.0    29.90    25MAY1693
198     67.50    68.0    29.95    26MAY1693
199     64.00    75.0    29.95    27MAY1693
200     71.00    67.0    30.10    28MAY1693
201     80.00    69.0    30.20    29MAY1693
202     89.50    70.0    30.20    30MAY1693
203    106.00    68.0    29.90    31MAY1693
204     78.00    65.0    29.90    01JUN1693
205     85.00    62.0    30.00    02JUN1693
206     95.00    54.0    30.20    03JUN1693
207     77.00    52.0    30.15    04JUN1693
208     63.00    50.0    29.90    05JUN1693
209     49.00    60.0    29.75    06JUN1693
210     46.00    67.0    29.70    07JUN1693
211     63.00    63.0    29.70    08JUN1693
212     63.00    69.0    29.80    09JUN1693
213     63.00    71.0    29.80    10JUN1693
214     55.00    70.0    29.85    11JUN1693
215     58.00    87.0    29.80    12JUN1693
216     59.00    75.0    29.90    13JUN1693
217     86.00    72.0    29.70    14JUN1693
218     63.00    79.0    29.80    15JUN1693
219     58.00    78.0    29.90    16JUN1693
220     86.00    79.0    30.00    17JUN1693
221     81.00    66.0    30.00    18JUN1693
222     92.00    57.0    30.10    19JUN1693
223     81.00    60.0    30.00    20JUN1693
224     80.00    71.0    29.90    21JUN1693
225     76.00    67.0    29.80    22JUN1693
226     63.00    69.0    29.70    23JUN1693
227     63.00    62.0    29.60    24JUN1693
228     57.00    65.0    29.80    25JUN1693
229     46.00    70.0    30.00    26JUN1693
230     49.50    68.0    30.00    27JUN1693
231     52.00    74.0    30.00    28JUN1693
232     59.00    68.0    30.20    29JUN1693
233     62.00    69.0    30.20    30JUN1693
234     75.00    67.0    30.00    01JUL1693
235     75.00    67.0    30.00    02JUL1693
236     63.00    62.0    30.00    03JUL1693
237     62.00    61.0    30.10    04JUL1693
238     60.00    63.0    30.10    05JUL1693
239     74.00    65.0    30.00    06JUL1693
240     61.00    65.0    30.00    07JUL1693
241     51.00    65.0    30.00    08JUL1693
242     46.00    74.0    29.90    09JUL1693
243     52.00    77.0    29.90    10JUL1693
244     72.00    74.0    29.80    11JUL1693
245     74.00    82.0    29.40    12JUL1693
246     88.00    75.0    29.70    13JUL1693
247     83.00    62.0    29.90    14JUL1693
248     84.00    65.0    30.10    15JUL1693
249     84.00    68.0    29.80    16JUL1693
250     71.00    58.0    30.10    17JUL1693
251     77.00    65.0    30.20    18JUL1693
252     66.00    78.0    30.15    19JUL1693
253     71.00    78.0    30.10    20JUL1693
254     72.00    82.0    30.00    21JUL1693
255     90.00    74.0    30.00    22JUL1693
256     99.00    68.0    30.00    23JUL1693
257     85.00    71.0    30.00    24JUL1693
258     85.00    81.0    29.90    25JUL1693
259     94.00    75.0    29.95    26JUL1693
260     97.00    70.0    29.80    27JUL1693
261     81.00    78.0    29.70    28JUL1693
262     87.00    67.0    29.90    29JUL1693
263     78.00    64.0    29.90    30JUL1693
264     78.00    79.0    29.35    31JUL1693
265     80.00    71.0    29.50    01AUG1693
266     77.00    73.0    29.60    02AUG1693
267     77.00    63.0    29.80    03AUG1693
268     78.00    64.0    29.90    04AUG1693
269     79.00    73.0    29.90    05AUG1693
270     81.00    70.0    29.90    06AUG1693
271     94.00    83.0    29.60    07AUG1693
272     79.00    86.0    29.60    08AUG1693
273     68.00    82.0    29.70    09AUG1693
274     70.00    83.0    29.80    10AUG1693
275     92.00    85.0    29.85    11AUG1693
276     70.00    80.0    30.00    12AUG1693
277     81.00    73.0    29.90    13AUG1693
278     68.00    75.0    29.70    14AUG1693
279     69.00    74.0    29.90    15AUG1693
280     77.00    72.0    29.80    16AUG1693
281     77.00    77.0    29.70    17AUG1693
282     84.00    77.0    29.70    18AUG1693
283     86.00    64.0    29.50    19AUG1693
284     78.00    68.0    30.00    20AUG1693
285     68.00    67.0    29.70    21AUG1693
286     71.00    65.0    29.70    22AUG1693
287     75.00    55.0    29.90    23AUG1693
288     64.00    54.0    29.50    24AUG1693
289     63.00    57.0    29.50    25AUG1693
290     58.00    59.0    29.40    26AUG1693
291     60.00    55.0    29.50    27AUG1693
292     53.00    55.0    29.90    28AUG1693
293     53.00    58.0    29.70    29AUG1693
294     53.00    56.0    29.70    30AUG1693
295     63.00    48.0    29.70    31AUG1693
296     53.00    53.0    29.70    01SEP1693
297     55.00    50.0    29.60    02SEP1693
298     61.00    50.0    29.70    03SEP1693
299     61.00    48.0    29.70    04SEP1693
300     63.00    44.0    29.80    05SEP1693
301     74.00    40.0    29.70    06SEP1693
302     62.00    39.0    29.60    07SEP1693
303     59.00    49.0    29.50    08SEP1693
304     40.00    52.0    29.50    09SEP1693
305     50.00    48.0    29.65    10SEP1693
306     46.00    41.0    29.70    11SEP1693
307     48.00    43.0    28.80    12SEP1693
308     46.00    53.0    29.70    13SEP1693
309     43.00    57.0    29.50    14SEP1693
310     46.00    70.0    29.20    15SEP1693
311     49.00    54.0    29.30    16SEP1693
312     46.00    52.0    29.10    17SEP1693
313     52.00    45.0    29.00    18SEP1693
314     48.00    45.0    29.30    19SEP1693
315     50.00    44.0    29.60    20SEP1693
316     43.00    42.0    29.90    21SEP1693
317     41.00    51.0    29.50    22SEP1693
318     46.00    45.0    29.90    23SEP1693
319     44.00    52.0    29.70    24SEP1693
320     41.00    47.0    29.80    25SEP1693
321     43.00    47.0    29.60    26SEP1693
322     46.00    45.0    29.70    27SEP1693
323     47.00    40.0    29.90    28SEP1693
324     50.00    44.0    29.80    29SEP1693
325     40.00    42.0    29.50    30SEP1693
326     40.00    35.0    29.90    01OCT1693
327     37.00    41.0    29.60    02OCT1693
328     41.00    35.0    29.70    03OCT1693
329     27.00    49.0    29.60    04OCT1693
330     29.00    48.0    30.00    05OCT1693
331     31.00    49.0    30.20    06OCT1693
332     29.00    58.0    30.00    07OCT1693
333     37.00    60.0    30.00    08OCT1693
334     39.00    59.0    30.20    09OCT1693
335     37.00    55.0    30.10    10OCT1693
336     34.00    55.0    29.90    11OCT1693
337     38.00    55.0    29.80    12OCT1693
338     39.00    42.0    30.00    13OCT1693
339     49.00    38.0    29.80    14OCT1693
340     44.00    28.0    29.70    15OCT1693
341     44.00    19.0    29.70    16OCT1693
342     35.00    23.0    29.10    17OCT1693
343     34.00    24.0    29.20    18OCT1693
344     34.00    20.0    29.20    19OCT1693
345     35.00    21.0    29.50    20OCT1693
346     35.00    17.0    29.90    21OCT1693
347     24.00    28.0    29.70    22OCT1693
348     28.00    25.0    29.70    23OCT1693
349     39.00    20.0    30.00    24OCT1693
350     41.00    13.0    30.00    25OCT1693
351     34.00    16.0    29.90    26OCT1693
352     33.00    13.0    30.00    27OCT1693
353     32.00    18.0    29.80    28OCT1693
354     33.00    10.0    29.80    29OCT1693
355     35.00     5.0    29.70    30OCT1693
356     28.00     7.0    29.40    31OCT1693
357     18.00    22.0    29.60    01NOV1693
358     15.00    30.0    29.70    02NOV1693
359     24.00    34.0    29.60    03NOV1693
360     26.00    30.0    29.70    04NOV1693
361     33.00    21.0    29.80    05NOV1693
362     33.00    10.0    29.80    06NOV1693
363     29.00     9.0    29.70    07NOV1693
364     20.00    23.0    29.50    08NOV1693
365     21.00    21.0    29.90    09NOV1693
