Runner,Gender,Place,Seconds,mph
973,M,1733,17079,5.526523801
974,M,285,12767,7.393083731
975,M,407,13272,7.111776673
976,M,72,11473,8.226924083
977,F,1797,17260,5.468568946
978,F,1998,18039,5.232413105
979,F,2045,18241,5.174469601
980,M,1980,17971,5.252211897
981,F,377,13140,7.183219178
982,F,857,14564,6.480877506
983,F,1485,16386,5.760252655
984,F,2182,18940,4.983500528
985,F,679,14079,6.704133816
986,F,1699,16980,5.558745583
987,M,454,13445,7.020267758
988,M,1685,16940,5.571871311
989,M,673,14067,6.709852847
990,M,1073,15201,6.209295441
991,M,132,11990,7.872185154
992,M,1040,15119,6.242972419
993,M,1946,17858,5.285446299
994,M,2376,20090,4.698232952
995,M,2247,19229,4.908601591
996,M,829,14482,6.51757354
997,M,2147,18699,5.047729825
998,M,1937,17795,5.304158471
999,M,1576,16616,5.680518777
1000,M,947,14867,6.348792628
1001,M,1892,17644,5.349552256
1002,M,740,14222,6.636724793
1003,M,651,14011,6.736671187
1004,M,2308,19658,4.801480313
1005,M,718,14187,6.653097907
1006,M,952,14886,6.340689238
1007,M,1239,15651,6.030764807
1008,M,1987,17987,5.24753989
1009,M,1444,16255,5.806674869
1010,M,2268,19391,4.867593213
1011,M,1086,15223,6.200321881
1012,M,502,13604,6.938216701
1013,M,2462,20678,4.56463391
1014,M,734,14210,6.642329346
1015,M,1508,16465,5.732614637
1016,M,1476,16349,5.773288886
1017,F,732,14208,6.643264358
1018,M,617,13930,6.775843503
1019,F,2388,20189,4.675194413
1020,F,2071,18356,5.142051645
1021,F,1778,17196,5.488921842
1022,F,2246,19229,4.908601591
1023,M,2416,20384,4.630469976
1024,M,2225,19117,4.937359418
1025,M,2432,20496,4.605166862
1026,M,519,13635,6.922442244
1027,M,1293,15832,5.961817837
1028,M,655,14018,6.733307176
1029,M,913,14771,6.390054837
1030,M,1384,16098,5.863306001
1031,M,858,14565,6.480432544
1032,M,332,12967,7.279054523
1033,M,1581,16634,5.674371769
1034,F,1972,17945,5.259821677
1035,F,2174,18882,4.998808389
1036,F,1632,16802,5.617634805
1037,F,340,12981,7.271204067
1038,F,1859,17459,5.406237471
1039,F,1358,16022,5.891118462
1040,F,1513,16475,5.729135053
1041,F,1923,17754,5.31640757
1042,F,1659,16884,5.590351812
1043,F,1829,17368,5.434563565
1044,F,2025,18167,5.195546871
1045,F,671,14066,6.710329873
1046,F,1708,17003,5.551226254
1047,F,1645,16846,5.602962128
1048,F,513,13626,6.927014531
1049,F,1392,16106,5.860393642
1050,F,714,14179,6.656851682
1051,F,1335,15954,5.916227905
1052,F,1400,16135,5.849860552
1053,F,891,14680,6.429666213
1054,F,2060,18319,5.15243736
1055,F,2196,18990,4.970379147
1056,F,1331,15942,5.920681219
1057,F,1936,17789,5.305947496
1058,F,1871,17517,5.388337044
1059,F,2314,19693,4.792946732
1060,F,85,11574,8.155132193
1061,F,777,14325,6.589005236
1062,F,2047,18243,5.173902319
1063,F,910,14766,6.39221861
1064,F,616,13928,6.776816485
1065,F,2128,18602,5.074051177
1066,F,318,12924,7.303272981
1067,F,1529,16527,5.711109094
1068,M,1015,15050,6.271594684
1069,M,2171,18857,5.005435647
1070,M,2126,18594,5.076234269
1071,M,1549,16567,5.697319973
1072,M,960,14902,6.333881358
1073,M,1975,17951,5.258063618
1074,M,1812,17304,5.454663662
1075,M,2341,19850,4.755037783
1076,M,30,10700,8.821261682
1077,M,1467,16327,5.781068169
1078,M,583,13847,6.816458439
1079,M,647,14003,6.740519889
1080,F,1113,15302,6.168311332
1081,F,2324,19756,4.777662482
1082,F,1804,17281,5.4619235
1083,F,1639,16830,5.60828877
1084,F,1995,18016,5.239093028
1085,F,504,13606,6.937196825
1086,F,746,14236,6.630198089
1087,F,1779,17198,5.488283521
1088,F,1294,15832,5.961817837
1089,F,2206,19023,4.961756821
1090,F,1155,15429,6.117538402
1091,F,1170,15457,6.106456622
1092,F,1373,16077,5.870964732
1093,M,2211,19054,4.953684266
1094,F,726,14201,6.646538976
1095,F,350,13033,7.242192895
1096,F,1629,16800,5.618303571
1097,F,1316,15899,5.936694132
1098,F,1989,17991,5.246373187
1099,F,2159,18798,5.021145867
1100,M,2323,19748,4.779597934
1101,M,2390,20222,4.667565028
1102,M,2259,19336,4.881438767
1103,M,875,14628,6.452522559
1104,M,1343,15977,5.907711085
1105,M,1689,16950,5.568584071
1106,M,852,14548,6.488005224
1107,M,357,13061,7.226667177
1108,M,104,11754,8.030245023
1109,M,370,13116,7.19636322
1110,F,1029,15098,6.251655848
1111,F,275,12692,7.436771194
1112,F,1986,17981,5.249290918
1113,F,1560,16589,5.689764302
1114,F,902,14740,6.403493894
1115,M,1161,15435,6.11516035
1116,M,954,14888,6.339837453
1117,M,408,13276,7.109633926
1118,M,1032,15102,6.25
1119,M,1855,17451,5.408715833
1120,M,1320,15910,5.932589566
1121,M,1012,15036,6.277434158
1122,M,2058,18308,5.1555331
1123,M,524,13668,6.905728709
1124,M,634,13981,6.751126529
1125,M,297,12822,7.361371081
1126,M,876,14628,6.452522559
1127,M,95,11662,8.093594581
1128,M,1375,16079,5.870234467
1129,M,540,13718,6.88055839
1130,M,2203,19017,4.963322291
1131,M,2318,19727,4.784685963
1132,M,2405,20337,4.641171264
1133,M,2360,19983,4.723389881
1134,M,633,13971,6.755958772
1135,M,2261,19348,4.878411205
1136,M,2292,19552,4.827511252
1137,M,462,13472,7.00619804
1138,M,48,10971,8.603363413
1139,M,603,13900,6.790467626
1140,M,2152,18742,5.036148757
1141,M,16,10326,9.140761185
1142,M,393,13229,7.134893038
1143,M,2000,18063,5.225460887
1144,M,155,12161,7.761491654
1145,M,1956,17896,5.27422329
1146,M,1337,15961,5.913633231
1147,M,1361,16039,5.884874369
1148,M,1000,15016,6.285795152
1149,M,736,14210,6.642329346
1150,M,2117,18544,5.089921268
1151,M,773,14322,6.590385421
1152,M,1174,15463,6.104087176
1153,M,1111,15298,6.169924173
1154,M,1969,17941,5.26099437
1155,M,1968,17938,5.261874233
1156,M,1242,15668,6.024221343
1157,M,1875,17535,5.382805817
1158,M,1613,16733,5.640799618
1159,M,824,14465,6.525233322
1160,M,912,14771,6.390054837
1161,M,169,12236,7.713917947
1162,M,1671,16905,5.583407276
1163,M,61,11221,8.411683451
1164,M,820,14449,6.532458994
1165,M,2209,19033,4.959149898
1166,M,614,13923,6.779250162
1167,M,2396,20254,4.66019058
1168,F,2334,19810,4.764639071
1169,M,1599,16692,5.654654925
1170,M,1264,15760,5.989054569
1171,M,2007,18092,5.217084899
1172,M,299,12830,7.356780982
1173,M,2048,18249,5.172201217
1174,M,1104,15274,6.17961896
1175,M,556,13761,6.859058208
1176,M,126,11966,7.88797426
1177,M,173,12254,7.70258691
1178,M,688,14093,6.697473923
1179,M,2279,19483,4.84460812
1180,M,1328,15937,5.922538746
1181,M,1973,17946,5.259528586
1182,M,1106,15277,6.178405446
1183,M,1606,16710,5.648563734
1184,M,839,14503,6.508136248
1185,M,274,12687,7.439702057
1186,M,657,14023,6.730906368
1187,M,2243,19209,4.913712322
1188,M,2479,21063,4.481199259
1189,M,487,13556,6.962784007
1190,M,1268,15764,5.98753489
1191,M,1399,16133,5.850585756
1192,M,968,14921,6.325815964
1193,F,1126,15346,6.15062557
1194,F,1198,15538,6.074623504
1195,M,574,13819,6.830269918
1196,M,755,14266,6.616255432
1197,M,1710,17009,5.549268035
1198,M,567,13791,6.844137481
1199,M,833,14493,6.512626785
1200,M,765,14289,6.605605711
1201,M,2275,19448,4.85332682
1202,M,102,11740,8.039821124
1203,M,1931,17771,5.311321816
1204,M,1156,15431,6.116745512
1205,M,1776,17187,5.491796125
1206,M,1921,17744,5.319403742
1207,M,1093,15243,6.192186577
1208,M,2439,20527,4.598212111
1209,M,1446,16257,5.805960509
1210,M,119,11913,7.923067237
1211,M,1095,15254,6.187721253
1212,M,1180,15489,6.09384079
1213,M,239,12558,7.516125179
1214,M,1355,16004,5.897744314
1215,M,2266,19383,4.869602229
1216,M,130,11982,7.877441162
1217,M,1442,16249,5.808819004
1218,M,554,13753,6.863048062
1219,M,2121,18569,5.083068555
1220,M,1276,15785,5.979569211
1221,M,2391,20223,4.667334223
1222,M,774,14323,6.589925295
1223,M,1707,17000,5.552205882
1224,M,628,13952,6.765159117
1225,M,343,12992,7.265047722
1226,M,37,10824,8.7202051
1227,M,1474,16346,5.774348464
1228,M,1514,16478,5.728092001
1229,M,2359,19972,4.725991388
1230,M,2418,20388,4.629561507
1231,M,2441,20539,4.595525585
1232,M,121,11924,7.915758135
1233,M,76,11504,8.204754868
1234,M,208,12462,7.574025036
1235,M,722,14189,6.652160124
1236,M,653,14013,6.735709698
1237,M,2084,18390,5.132544861
1238,F,2197,18994,4.969332421
1239,F,1752,17124,5.512000701
1240,F,1959,17909,5.270394774
1241,M,184,12354,7.64023798
1242,M,2458,20640,4.573037791
1243,M,1506,16462,5.733659337
1244,M,1194,15529,6.078144117
1245,M,2399,20292,4.651463631
1246,F,2274,19448,4.85332682
1247,F,1591,16662,5.664836154
1248,M,1590,16659,5.665856294
1249,F,1319,15906,5.934081479
1250,F,930,14820,6.368927126
1251,F,1756,17131,5.509748409
1252,F,2273,19400,4.865335052
1253,F,1253,15707,6.009263386
1254,F,838,14501,6.50903386
1255,F,246,12580,7.502980922
1256,F,1794,17255,5.470153579
1257,F,2003,18074,5.222280624
1258,F,1641,16833,5.607289253
1259,F,2392,20231,4.665488607
1260,M,1305,15860,5.95129256
1261,M,1195,15532,6.076970126
1262,F,705,14147,6.671909239
1263,M,1024,15090,6.254970179
1264,M,249,12598,7.492260676
1265,M,1870,17506,5.391722838
1266,M,1301,15853,5.953920394
1267,M,64,11311,8.344752895
1268,M,157,12163,7.760215407
1269,M,1487,16391,5.758495516
1270,M,629,13956,6.76322012
1271,M,26,10648,8.864340721
1272,M,2163,18819,5.015542802
1273,F,1760,17143,5.505891618
1274,F,1203,15553,6.068764869
1275,F,2490,21482,4.393794805
1276,F,1274,15784,5.979948049
1277,F,750,14245,6.626009126
1278,F,2093,18427,5.122239106
1279,F,604,13900,6.790467626
1280,F,2013,18127,5.20701164
1281,F,2304,19648,4.803924064
1282,F,1757,17132,5.509426804
1283,F,2072,18358,5.141491448
1284,F,1505,16461,5.734007654
1285,F,2248,19236,4.906815346
1286,F,2081,18376,5.136455159
1287,F,1510,16468,5.731570318
1288,F,2489,21453,4.399734303
1289,F,2330,19799,4.767286227
1290,F,1018,15064,6.265766065
1291,F,1800,17269,5.465718918
1292,F,2285,19491,4.842619671
1293,F,1583,16640,5.672325721
1294,F,1200,15541,6.073450872
1295,F,360,13071,7.221138398
1296,F,1257,15730,6.000476796
1297,F,507,13610,6.935157972
1298,F,1667,16895,5.586712045
1299,F,2180,18927,4.986923443
1300,F,2433,20497,4.604942187
1301,F,1150,15410,6.125081116
1302,F,2299,19618,4.811270262
1303,F,1196,15533,6.076578897
1304,F,410,13290,7.10214447
1305,F,1564,16592,5.688735535
1306,F,1243,15670,6.023452457
1307,F,1258,15735,5.998570067
1308,F,2193,18983,4.972211979
1309,F,1798,17264,5.4673019
1310,F,1303,15855,5.953169347
1311,F,1006,15024,6.282448083
1312,F,1448,16261,5.804532317
1313,F,2012,18124,5.207873538
1314,F,2424,20414,4.623665132
1315,F,975,14941,6.317348236
1316,F,1427,16219,5.819563475
1317,F,1693,16969,5.562348989
1318,F,1893,17656,5.345916402
1319,F,2172,18859,5.00490482
1320,F,1061,15180,6.217885375
1321,F,2134,18633,5.065609403
1322,F,1315,15896,5.937814545
1323,F,1966,17933,5.263341326
1324,F,78,11517,8.195493618
1325,F,1518,16500,5.720454545
1326,F,2422,20413,4.623891638
1327,F,2006,18091,5.21737328
1328,F,1478,16369,5.766234956
1329,F,2157,18786,5.024353242
1330,F,1628,16795,5.619976183
1331,F,288,12785,7.38267501
1332,F,1183,15500,6.089516129
1333,F,1103,15271,6.180832951
1334,F,1348,15980,5.906602003
1335,F,298,12828,7.35792797
1336,F,49,11002,8.579121978
1337,F,1650,16862,5.597645594
1338,F,1060,15175,6.219934102
1339,F,1164,15444,6.111596737
1340,F,2015,18130,5.206150028
1341,F,337,12975,7.274566474
1342,F,1022,15081,6.258703004
1343,F,1862,17469,5.40314271
1344,F,1963,17919,5.267453541
1345,F,735,14210,6.642329346
1346,M,2043,18240,5.174753289
1347,M,1332,15942,5.920681219
1348,M,300,12832,7.355634352
1349,M,317,12922,7.304403343
1350,M,2229,19142,4.930911086
1351,M,1727,17056,5.533976313
1352,F,2352,19913,4.739993974
1353,F,2320,19731,4.78371598
1354,F,1588,16653,5.667897676
1355,F,1550,16568,5.696976099
1356,F,1219,15602,6.049705166
1357,F,526,13670,6.904718361
1358,F,2187,18963,4.977456099
1359,F,797,14381,6.563347472
1360,F,1709,17009,5.549268035
1361,F,676,14077,6.705086311
1362,F,1835,17393,5.426752142
1363,F,1984,17976,5.250751001
1364,F,1996,18035,5.233573607
1365,F,825,14469,6.523429401
1366,F,1988,17988,5.247248165
1367,F,2400,20298,4.650088679
1368,F,1289,15828,5.963324488
1369,F,951,14873,6.346231426
1370,M,2446,20572,4.588153801
1371,F,2443,20553,4.592395271
1372,M,934,14827,6.365920281
1373,F,1233,15641,6.034620549
1374,F,2186,18958,4.978768857
1375,M,2244,19213,4.912689325
1376,M,1418,16189,5.830347767
1377,M,2321,19737,4.782261742
1378,M,105,11754,8.030245023
1379,F,2034,18204,5.184986816
1380,F,1437,16237,5.813112028
1381,F,652,14012,6.736190408
1382,M,473,13517,6.982873419
1383,M,362,13072,7.220585985
1384,M,564,13783,6.848109991
1385,M,1378,16091,5.86585669
1386,M,406,13269,7.113384581
1387,M,1052,15147,6.231431967
1388,M,2289,19533,4.832207034
1389,M,252,12602,7.489882558
1390,M,2068,18348,5.144293656
1391,M,781,14337,6.58349027
1392,M,1273,15780,5.981463878
1393,M,2052,18266,5.167387496
1394,M,1579,16624,5.67778513
1395,M,517,13634,6.922949978
1396,M,928,14812,6.372367
1397,M,334,12974,7.275127177
1398,M,1041,15121,6.242146683
1399,M,1833,17384,5.429561666
1400,M,1536,16543,5.705585444
1401,F,826,14470,6.522978576
