0,0.39364728,226.7408331,229,0.022509554
1,0.366997359,211.3904787,211,0.000721289
2,0.171075819,98.53967163,93,0.311427482
3,0.053164662,30.62284529,35,0.625659803
4+,0.01511488,8.70617128,7,0.334362872
Total,1,576,576,1.294681
