ID,Team,Number,Name,Position,Height,Weight
447,Montreal,27,Alex Galchenyuk  ,C,73,198
449,Montreal,20,Manny Malhotra  ,C,74,207
452,Montreal,14,"Tomas Plekanec ""A"" ",C,71,198
471,Ottawa,27,Curtis Lazar  ,C,72,196
472,Ottawa,17,David Legwand  ,C,74,205
476,Ottawa,44,Jean-Gabriel Pageau  ,C,69,175
478,Ottawa,15,Zack Smith   **,C,74,210
480,Ottawa,7,Kyle Turris  ,C,73,191
481,Ottawa,93,Mika Zibanejad  ,C,74,211
492,Tampa Bay,11,Brian Boyle  ,C,79,244
497,Tampa Bay,51,Valtteri Filppula  ,C,72,195
498,Tampa Bay,9,Tyler Johnson  ,C,69,182
499,Tampa Bay,17,Alex Killorn  ,C,74,205
503,Tampa Bay,13,Cedric Paquette  ,C,73,198
504,Tampa Bay,91,"Steven Stamkos ""C"" ",C,72,190
519,Toronto,42,Tyler Bozak  ,C,73,195
521,Toronto,24,Peter Holland   **,C,74,194
522,Toronto,43,Nazem Kadri  ,C,72,188
524,Toronto,47,Leo Komarov  ,C,71,198
526,Toronto,36,Greg McKegg  ,C,72,191
528,Toronto,25,Mike Santorelli  ,C,72,189
529,Toronto,26,Daniel Winnik  ,C,74,207
542,Carolina,16,Elias Lindholm  ,C,73,192
543,Carolina,24,Brad Malone  ,C,74,207
544,Carolina,18,Jay McClement  ,C,73,205
545,Carolina,20,Riley Nash  ,C,73,200
546,Carolina,15,Andrej Nestrasil  ,C,75,200
547,Carolina,49,Victor Rask  ,C,74,200
550,Carolina,12,"Eric Staal ""C"" ",C,76,205
551,Carolina,11,"Jordan Staal ""A"" ",C,76,220
564,Columbus,42,Artem Anisimov   **,C,76,198
568,Columbus,37,Sean Collins  ,C,73,198
569,Columbus,17,"Brandon Dubinsky ""A"" ",C,74,216
571,Columbus,23,Brian Gibbons   **,C,68,170
573,Columbus,38,Boone Jenner   **,C,74,208
574,Columbus,19,Ryan Johansen  ,C,75,223
575,Columbus,55,"Mark Letestu ""A"" ",C,70,199
579,Columbus,41,Alexander Wennberg  ,C,73,190
594,New Jersey,26,"Patrik Elias ""A"" ",C,73,195
595,New Jersey,11,Stephen Gionta   **,C,67,185
596,New Jersey,21,Scott Gomez  ,C,71,200
598,New Jersey,14,Adam Henrique  ,C,72,195
600,New Jersey,16,Jacob Josefson  ,C,73,190
606,New Jersey,19,"Travis Zajac ""A"" ",C,75,205
621,New York Islanders,53,Casey Cizikas  ,C,71,201
624,New York Islanders,84,Mikhail Grabovski  ,C,71,183
626,New York Islanders,27,Anders Lee  ,C,75,227
628,New York Islanders,29,Brock Nelson  ,C,75,206
629,New York Islanders,51,"Frans Nielsen ""A"" ",C,73,190
631,New York Islanders,18,Ryan Strome  ,C,73,196
632,New York Islanders,91,"John Tavares ""C"" ",C,73,209
645,Philadelphia,14,Sean Couturier  ,C,75,197
646,Philadelphia,28,"Claude Giroux ""C"" ",C,71,172
647,Philadelphia,49,Scott Laughton  ,C,73,177
648,Philadelphia,40,Vincent Lecavalier  ,C,76,215
651,Philadelphia,36,Zac Rinaldo  ,C,71,169
652,Philadelphia,10,Brayden Schenn  ,C,73,190
654,Philadelphia,18,R.J. Umberger  ,C,74,214
655,Philadelphia,76,Chris VandeVelde  ,C,74,190
